gbifID,species,latitude,longitude
4022317665,Hylocomium splendens,49.11642,-85.845878
4022316731,Bryum argenteum,40.7405,-73.769586
4022316508,Plagiomnium cuspidatum,40.745045,-74.445817
4022314621,Hylocomium splendens,64.876411,-148.382864
4022314591,Hylocomium splendens,64.882912,-148.394941
4022312826,Hylocomium splendens,64.876026,-148.383174
4022312575,Hylocomium splendens,49.336331,-123.015806
4022311998,Hylocomium splendens,64.895902,-148.452381
4022308233,Hylocomium splendens,64.895902,-148.452381
4022308176,Hylocomium splendens,64.883317,-148.395661
4022308154,Hylocomium splendens,64.87548,-148.382883
4022308153,Hylocomium splendens,64.88335,-148.395643
4022307849,Plagiomnium cuspidatum,50.417347,-96.541683
4022307808,Hylocomium splendens,45.622137,-65.059555
4022306127,Hylocomium splendens,64.875737,-148.382757
4022306000,Hylocomium splendens,64.895902,-148.452381
4022304473,Hylocomium splendens,49.299998,-96.211563
4022303879,Hylocomium splendens,64.876452,-148.38304
4022303877,Hylocomium splendens,64.87553,-148.382685
4022303875,Hylocomium splendens,64.88137,-148.392246
4022303836,Bryum argenteum,39.736256,-84.171289
4022300710,Hylocomium splendens,64.876741,-148.382718
4022300624,Plagiomnium cuspidatum,50.417347,-96.541683
4022298833,Hylocomium splendens,64.876555,-148.383435
4022298831,Hylocomium splendens,64.881679,-148.391489
4022294255,Hylocomium splendens,64.883171,-148.397104
4022294253,Hylocomium splendens,64.895216,-148.45133
4022294204,Hylocomium splendens,64.8769,-148.382767
4022294117,Pohlia wahlenbergii,49.255907,-122.942131
4022290220,Hylocomium splendens,64.876482,-148.382638
4022289777,Hylocomium splendens,50.134094,-119.346703
4022286256,Hylocomium splendens,64.876555,-148.383435
4022286222,Hylocomium splendens,64.876741,-148.382718
4022286193,Hylocomium splendens,64.895219,-148.451535
4022286175,Hylocomium splendens,64.876452,-148.38304
4022286043,Hylocomium splendens,64.895031,-148.451325
4022285956,Bryum argenteum,38.432725,-122.742787
4022285048,Hylocomium splendens,64.895109,-148.450923
4022284677,Hylocomium splendens,51.663551,-128.114349
4022283815,Hylocomium splendens,64.875695,-148.382259
4022281779,Hylocomium splendens,64.876452,-148.38304
