gbifID,species,latitude,longitude
788785021,Cladonia fimbriata,47.620379,-117.404392
788784962,Cladonia fimbriata,47.642901,-114.083687
788784903,Cladonia fimbriata,44.833333,-116.166667
788784844,Cladonia fimbriata,44.183333,-116.116667
788784785,Cladonia fimbriata,46.731389,-117.179722
788784727,Cladonia fimbriata,46.333766,-116.760903
788784667,Cladonia fimbriata,45.849237,-115.467376
788784609,Cladonia fimbriata,54.0,-132.633333
788784490,Cladonia fimbriata,33.8,-110.966667
788775058,Cladonia mitis,68.443333,-66.825
788774939,Cladonia rangiferina,68.443333,-66.825
788763389,Sphaerophorus globosus,44.6875,-122.008333
788763147,Icmadophila ericetorum,48.075833,-88.595833
788748342,Physconia detersa,48.094167,-88.568889
788603992,Arctoparmelia centrifuga,66.15,-65.733333
788603876,Arctoparmelia centrifuga,58.755556,-94.1125
788603817,Arctoparmelia centrifuga,46.45,-87.6
788603758,Arctoparmelia centrifuga,44.564906,-68.370703
788603699,Arctoparmelia centrifuga,44.365833,-73.902778
788575858,Cladonia stygia,41.431111,-75.747222
788575193,Cladonia maxima,51.619167,-55.899167
788575005,Cladonia pyxidata,42.169167,-74.2
788556285,Arctoparmelia centrifuga,43.867567,-71.201665
788544397,Arctoparmelia centrifuga,38.563333,-79.495278
788544337,Arctoparmelia centrifuga,44.1125,-73.923611
788514775,Parmelia sulcata,48.098611,-88.697222
788505035,Parmelia sulcata,39.0043,-123.0748
788504977,Parmelia sulcata,39.0043,-123.0748
738960,Dibaeis baeomyces,40.835556,-72.917222
730735209,Platismatia glauca,48.677778,-122.831389
730735208,Platismatia glauca,48.677778,-122.831389
730734364,Cladonia sulphurina,48.795467,-117.1304
730734331,Cladonia pyxidata,48.9285,-117.303117
730734320,Cladonia mitis,63.533333,-150.7
730734307,Cladonia fimbriata,48.94115,-118.148417
730734306,Cladonia fimbriata,48.924283,-117.2964
712787,Cladonia rangiferina,58.866667,-115.05
712786,Cladonia rangiferina,58.866667,-115.05
712785,Cladonia rangiferina,58.866667,-115.05
712741,Cladonia rangiferina,58.866667,-115.05
712630,Cladonia rangiferina,58.866667,-115.05
712524,Cladonia rangiferina,47.372778,-88.313056
712452,Cladonia stygia,46.583333,-86.216667
712445,Cladonia rangiferina,44.75,-79.666667
710024,Cladonia maxima,44.233333,-68.333333
70765043,Cladonia rangiferina,67.123861,-159.046917
70765016,Cladonia rangiferina,67.122861,-159.052667
70764967,Cladonia mitis,64.869389,-147.858306
683958587,Peltigera didactyla,68.123667,-149.466667
683958462,Cladonia sulphurina,63.7225,-148.958833
683958457,Cladonia stygia,64.905667,-147.819833
